TimeReceived,QD
0.011,0
0.012,0.001
0.032,0.0
0.053,0.0
0.074,0.0
0.095,0.0
0.116,0.0
0.136,0.0
0.157,0.0
0.178,0.0
0.199,0.0
0.22,0.0
0.24,0.0
0.261,0.0
0.282,0.0
0.303,0.0
0.324,0.0
0.344,0.0
0.365,0.0
0.386,0.0
0.407,0.0
0.428,0.0
0.448,0.0
0.469,0.0
0.49,0.0
0.511,0.0
0.532,0.0
0.552,0.0
0.573,0.0
0.594,0.0
0.615,0.0
0.636,0.0
0.656,0.0
0.677,0.0
0.698,0.0
0.719,0.0
0.74,0.0
0.76,0.0
0.781,0.0
0.802,0.0
0.823,0.0
0.844,0.0
0.864,0.0
0.885,0.0
0.906,0.0
0.927,0.0
0.948,0.0
0.968,0.0
0.989,0.0
1.01,0.0
1.031,0.0
1.052,0.0
1.072,0.0
1.093,0.0
1.114,0.0
1.135,0.0
1.156,0.0
1.176,0.0
1.197,0.0
1.218,0.0
1.239,0.0
1.26,0.0
1.28,0.0
1.301,0.0
1.322,0.0
1.343,0.0
1.364,0.0
1.384,0.0
1.405,0.0
1.426,0.0
1.447,0.0
1.468,0.0
1.488,0.0
1.509,0.0
1.53,0.0
1.551,0.0
1.572,0.0
1.592,0.0
1.613,0.0
1.634,0.0
1.655,0.0
1.676,0.0
1.696,0.0
1.717,0.0
1.738,0.0
1.759,0.0
1.78,0.0
1.8,0.0
1.821,0.0
1.842,0.0
1.863,0.0
1.884,0.0
1.904,0.0
1.925,0.0
1.946,0.0
1.967,0.0
1.988,0.0
2.008,0.0
2.029,0.0
2.05,0.0
2.071,0.0
2.092,0.0
2.112,0.0
2.133,0.0
2.154,0.0
2.175,0.0
2.196,0.0
2.216,0.0
2.237,0.0
2.258,0.0
2.279,0.0
2.3,0.0
2.32,0.0
2.341,0.0
2.362,0.0
2.383,0.0
2.404,0.0
2.424,0.0
2.445,0.0
2.466,0.0
2.487,0.0
2.508,0.0
2.528,0.0
2.549,0.0
2.57,0.0
2.591,0.0
2.612,0.0
2.632,0.0
2.653,0.0
2.674,0.0
2.695,0.0
2.716,0.0
2.736,0.0
2.757,0.0
2.778,0.0
2.799,0.0
2.82,0.0
2.84,0.0
2.861,0.0
2.882,0.0
2.903,0.0
2.924,0.0
2.944,0.0
2.965,0.0
2.986,0.0
3.007,0.0
3.028,0.0
3.048,0.0
3.069,0.0
3.09,0.0
3.111,0.0
3.132,0.0
3.152,0.0
3.173,0.0
3.194,0.0
3.215,0.0
3.236,0.0
3.256,0.0
3.277,0.0
3.298,0.0
3.319,0.0
3.34,0.0
3.36,0.0
3.381,0.0
3.402,0.0
3.423,0.0
3.444,0.0
3.464,0.0
3.485,0.0
3.506,0.0
3.527,0.0
3.548,0.0
3.568,0.0
3.589,0.0
3.61,0.0
3.631,0.0
3.652,0.0
3.672,0.0
3.693,0.0
3.714,0.0
3.735,0.0
3.756,0.0
3.776,0.0
3.797,0.0
3.818,0.0
3.839,0.0
3.86,0.0
3.88,0.0
3.901,0.0
3.922,0.0
3.943,0.0
3.964,0.0
3.984,0.0
4.005,0.0
4.026,0.0
4.047,0.0
4.068,0.0
4.088,0.0
4.109,0.0
4.13,0.0
4.151,0.0
4.172,0.0
4.192,0.0
4.213,0.0
4.234,0.0
4.255,0.0
4.276,0.0
4.296,0.0
4.317,0.0
4.338,0.0
4.359,0.0
4.38,0.0
4.4,0.0
4.421,0.0
4.442,0.0
4.463,0.0
4.484,0.0
4.504,0.0
4.525,0.0
4.546,0.0
4.567,0.0
4.588,0.0
4.608,0.0
4.629,0.0
4.65,0.0
4.671,0.0
4.692,0.0
4.712,0.0
4.733,0.0
4.754,0.0
4.775,0.0
4.796,0.0
4.816,0.0
4.837,0.0
4.858,0.0
4.879,0.0
4.9,0.0
4.92,0.0
4.941,0.0
4.962,0.0
4.983,0.0
5.004,0.0
5.024,0.0
5.045,0.0
5.066,0.0
5.087,0.0
5.108,0.0
5.128,0.0
5.149,0.0
5.17,0.0
5.191,0.0
5.212,0.0
5.232,0.0
5.253,0.0
5.274,0.0
5.295,0.0
5.316,0.0
5.336,0.0
5.357,0.0
5.378,0.0
5.399,0.0
5.42,0.0
5.44,0.0
5.461,0.0
5.482,0.0
5.503,0.0
5.524,0.0
5.544,0.0
5.565,0.0
5.586,0.0
5.607,0.0
5.628,0.0
5.648,0.0
5.669,0.0
5.69,0.0
5.711,0.0
5.732,0.0
5.752,0.0
5.773,0.0
5.794,0.0
5.815,0.0
5.836,0.0
5.856,0.0
5.877,0.0
5.898,0.0
5.919,0.0
5.94,0.0
5.96,0.0
5.981,0.0
6.002,0.0
6.023,0.0
6.044,0.0
6.064,0.0
6.085,0.0
6.106,0.0
6.127,0.0
6.148,0.0
6.168,0.0
6.189,0.0
6.21,0.0
6.231,0.0
6.252,0.0
6.272,0.0
6.293,0.0
6.314,0.0
6.335,0.0
6.356,0.0
6.376,0.0
6.397,0.0
6.418,0.0
6.439,0.0
6.46,0.0
6.48,0.0
6.501,0.0
6.522,0.0
6.543,0.0
6.564,0.0
6.584,0.0
6.605,0.0
6.626,0.0
6.647,0.0
6.668,0.0
6.688,0.0
6.709,0.0
6.73,0.0
6.751,0.0
6.772,0.0
6.792,0.0
6.813,0.0
6.834,0.0
6.855,0.0
6.876,0.0
6.896,0.0
6.917,0.0
6.938,0.0
6.959,0.0
6.98,0.0
7.0,0.0
7.021,0.0
7.042,0.0
7.063,0.0
7.084,0.0
7.104,0.0
7.125,0.0
7.146,0.0
7.167,0.0
7.188,0.0
7.208,0.0
7.229,0.0
7.25,0.0
7.271,0.0
7.292,0.0
7.312,0.0
7.333,0.0
7.354,0.0
7.375,0.0
7.396,0.0
7.416,0.0
7.437,0.0
7.458,0.0
7.479,0.0
7.5,0.0
7.52,0.0
7.541,0.0
7.562,0.0
7.583,0.0
7.604,0.0
7.624,0.0
7.645,0.0
7.666,0.0
7.687,0.0
7.708,0.0
7.728,0.0
7.749,0.0
7.77,0.0
7.791,0.0
7.812,0.0
7.832,0.0
7.853,0.0
7.874,0.0
7.895,0.0
7.916,0.0
7.936,0.0
7.957,0.0
7.978,0.0
7.999,0.0
8.02,0.0
8.04,0.0
8.061,0.0
8.082,0.0
8.103,0.0
8.124,0.0
8.144,0.0
8.165,0.0
8.186,0.0
8.207,0.0
8.228,0.0
8.248,0.0
8.269,0.0
8.29,0.0
8.311,0.0
8.332,0.0
8.352,0.0
8.373,0.0
8.394,0.0
8.415,0.0
8.436,0.0
8.456,0.0
8.477,0.0
8.498,0.0
8.519,0.0
8.54,0.0
8.56,0.0
8.581,0.0
8.602,0.0
8.623,0.0
8.644,0.0
8.664,0.0
8.685,0.0
8.706,0.0
8.727,0.0
8.748,0.0
8.768,0.0
8.789,0.0
8.81,0.0
8.831,0.0
8.852,0.0
8.872,0.0
8.893,0.0
8.914,0.0
8.935,0.0
8.956,0.0
8.976,0.0
8.997,0.0
9.018,0.0
9.039,0.0
9.06,0.0
9.08,0.0
9.101,0.0
9.122,0.0
9.143,0.0
9.164,0.0
9.184,0.0
9.205,0.0
9.226,0.0
9.247,0.0
9.268,0.0
9.288,0.0
9.309,0.0
9.33,0.0
9.351,0.0
9.372,0.0
9.392,0.0
9.413,0.0
9.434,0.0
9.455,0.0
9.476,0.0
9.496,0.0
9.517,0.0
9.538,0.0
9.559,0.0
9.58,0.0
9.6,0.0
9.621,0.0
9.642,0.0
9.663,0.0
9.684,0.0
9.704,0.0
9.725,0.0
9.746,0.0
9.767,0.0
9.788,0.0
9.808,0.0
9.829,0.0
9.85,0.0
9.871,0.0
9.892,0.0
9.912,0.0
9.933,0.0
9.954,0.0
9.975,0.0
9.996,0.0
10.016,0.0
10.037,0.0
10.058,0.0
10.079,0.0
10.1,0.0
10.12,0.0
10.141,0.0
10.162,0.0
10.183,0.0
10.204,0.0
10.224,0.0
10.245,0.0
10.266,0.0
10.287,0.0
10.308,0.0
10.328,0.0
10.349,0.0
10.37,0.0
10.391,0.0
10.412,0.0
10.432,0.0
10.453,0.0
10.474,0.0
10.495,0.0
10.516,0.0
10.536,0.0
10.557,0.0
10.578,0.0
10.599,0.0
10.62,0.0
10.64,0.0
10.661,0.0
10.682,0.0
11.702,0.0
