Time,Queue Size,Event
0.20800000000000002,1,size
0.21600000000000003,0,size
0.41600000000000004,1,size
0.42400000000000004,0,size
0.42400000000000004,1,size
0.42400000000000004,2,size
0.43200000000000005,1,size
0.44000000000000006,0,size
0.624,1,size
0.632,0,size
0.632,1,size
0.632,2,size
0.64,1,size
0.64,2,size
0.64,3,size
0.648,2,size
0.648,3,size
0.656,2,size
0.664,1,size
0.672,0,size
0.832,1,size
0.84,0,size
0.84,1,size
0.84,2,size
0.848,1,size
0.848,2,size
0.848,3,size
0.856,2,size
0.856,3,size
0.856,4,size
0.864,3,size
0.864,4,size
0.864,5,size
0.872,4,size
0.872,5,size
0.872,6,size
0.88,5,size
0.88,6,size
0.888,5,size
0.896,4,size
0.904,3,size
0.912,2,size
0.92,1,size
0.928,0,size
1.2640000000000002,1,size
1.2720000000000002,0,size
1.4720000000000004,1,size
1.4800000000000004,0,size
1.4800000000000004,1,size
1.4800000000000004,2,size
1.4880000000000004,1,size
1.4960000000000004,0,size
1.6800000000000006,1,size
1.6880000000000006,0,size
1.6880000000000006,1,size
1.6880000000000006,2,size
1.6960000000000006,1,size
1.6960000000000006,2,size
1.6960000000000006,3,size
1.7040000000000006,2,size
1.7040000000000006,3,size
1.7120000000000006,2,size
1.7200000000000006,1,size
1.7280000000000006,0,size
1.9280000000000008,1,size
1.9360000000000008,0,size
1.9360000000000008,1,size
1.9440000000000008,0,size
2.144000000000001,1,size
2.152000000000001,0,size
2.152000000000001,1,size
2.160000000000001,0,size
2.360000000000001,1,size
2.368000000000001,0,size
2.368000000000001,1,size
2.3760000000000012,0,size
2.5760000000000014,1,size
2.5840000000000014,0,size
2.5840000000000014,1,size
2.5920000000000014,0,size
2.8000000000000016,1,size
2.8080000000000016,0,size
3.008000000000002,1,size
3.016000000000002,0,size
3.016000000000002,1,size
3.024000000000002,0,size
3.224000000000002,1,size
3.232000000000002,0,size
3.232000000000002,1,size
3.240000000000002,0,size
3.440000000000002,1,size
3.448000000000002,0,size
3.448000000000002,1,size
3.456000000000002,0,size
3.6560000000000024,1,size
3.6640000000000024,0,size
3.6640000000000024,1,size
3.6720000000000024,0,size
3.8720000000000026,1,size
3.8800000000000026,0,size
3.8800000000000026,1,size
3.8880000000000026,0,size
4.088000000000003,1,size
4.096000000000003,0,size
4.096000000000003,1,size
4.104000000000003,0,size
4.304000000000002,1,size
4.312000000000002,0,size
4.312000000000002,1,size
4.320000000000002,0,size
4.520000000000001,1,size
4.528000000000001,0,size
4.528000000000001,1,size
4.536000000000001,0,size
4.736000000000001,1,size
4.744000000000001,0,size
4.744000000000001,1,size
4.752000000000001,0,size
4.952,1,size
4.96,0,size
4.96,1,size
4.968,0,size
5.167999999999999,1,size
5.175999999999999,0,size
5.175999999999999,1,size
5.183999999999999,0,size
5.383999999999999,1,size
5.391999999999999,0,size
5.391999999999999,1,size
5.399999999999999,0,size
5.599999999999998,1,size
5.607999999999998,0,size
5.607999999999998,1,size
5.615999999999998,0,size
5.815999999999997,1,size
